eventCode,teamNumber,name,year
N1,1,Best Play of the Day Award,1998
MI,1,Motorola Quality Award,1998
NJ,7,Judges' Award,1998
IL,10,Rookie All Star Award,1998
IL,13,Best Play of the Day Award,1998
IL,14,#1 Seed,1998
N1,16,DWC Scholarship,1998
N1,16,Chairman's Award Finalist,1998
N1,16,WPI Scholarship,1998
IL,16,Regional Winners,1998
IL,16,Best Offensive Round,1998
TX,16,Regional Finalists,1998
TX,16,Xerox Creativity Award,1998
NH,18,DaimlerChrysler Team Spirit Award,1998
NJ,19,Motorola Quality Award,1998
TX,21,Most Photogenic Award,1998
N1,23,Woodie Flowers Award,1998
N1,23,Chairman's Award,1998
IL,24,Regional Finalists,1998
MI,27,Against All Odds Award,1998
TX,28,Judges' Award,1998
TX,29,Judges' Award,1998
NH,34,Judges' Award,1998
NJ,37,Outstanding Defense,1998
N1,38,Rookie All Star Award,1998
NH,42,Judges' Award,1998
N1,45,Judges' Award,1998
N1,45,Championship Winner,1998
MI,45,Regional Finalists,1998
N1,46,Rookie All Star Award,1998
NH,47,Regional Winners,1998
NH,47,#1 Seed,1998
MI,47,Regional Winners,1998
TX,47,Regional Winners,1998
TX,47,#1 Seed,1998
TX,47,Motorola Quality Award,1998
NJ,52,Judges' Award,1998
TX,57,Best Offensive Round,1998
NH,58,Best Offensive Round,1998
NH,61,Best Play of the Day Award,1998
NH,61,Outstanding Defense,1998
N1,65,Championship Finalist,1998
IL,65,Most Photogenic Award,1998
MI,65,Judges' Award,1998
MI,65,J&J Sportsmanship,1998
MI,66,Judges' Award,1998
N1,67,Chairman's Award Finalist,1998
N1,67,Honeywell Leadership in Control Award,1998
IL,67,Motorola Quality Award,1998
MI,67,Honeywell Leadership in Control Award,1998
TX,67,Honeywell Leadership in Control Award,1998
IL,68,DaimlerChrysler Team Spirit Award,1998
NH,69,Rookie All Star Award,1998
N1,71,Xerox Creativity Award,1998
IL,71,Xerox Creativity Award,1998
N1,73,Most Photogenic Award,1998
NJ,73,Most Photogenic Award,1998
IL,74,Judges' Award,1998
TX,77,Outstanding Defense,1998
TX,79,Rookie All Star Award,1998
IL,81,Featherweight in the Finals,1998
MI,85,Outstanding Defense,1998
NJ,88,Best Offensive Round,1998
NJ,88,Regional Finalists,1998
NJ,88,Honeywell Leadership in Control Award,1998
IL,93,J&J Sportsmanship,1998
N1,95,Outstanding Defense,1998
NH,95,Xerox Creativity Award,1998
NJ,106,Xerox Creativity Award,1998
N1,108,Chairman's Award Finalist,1998
N1,108,Judges' Award,1998
IL,108,Honeywell Leadership in Control Award,1998
N1,111,Best Offensive Round,1998
IL,111,Outstanding Defense,1998
MI,111,Judges' Award,1998
TX,118,J&J Sportsmanship,1998
N1,120,Chairman's Award Finalist,1998
MI,120,Xerox Creativity Award,1998
N1,121,Championship Finalist,1998
N1,123,DaimlerChrysler Team Spirit Award,1998
IL,123,Judges' Award,1998
MI,123,DaimlerChrysler Team Spirit Award,1998
NH,126,Featherweight in the Finals,1998
NH,126,Honeywell Leadership in Control Award,1998
NH,131,Regional Finalists,1998
N1,132,Featherweight in the Finals,1998
NH,133,Most Photogenic Award,1998
IL,135,Against All Odds Award,1998
NH,146,J&J Sportsmanship,1998
TX,148,Featherweight in the Finals,1998
TX,148,Best Play of the Day Award,1998
N1,151,"Autodesk Excellence in Engineering, Creativity & Communication  Award",1998
NJ,165,Featherweight in the Finals,1998
NJ,165,Rookie All Star Award,1998
TX,169,DaimlerChrysler Team Spirit Award,1998
NH,174,Judges' Award,1998
N1,175,J&J Sportsmanship,1998
NJ,175,Regional Winners,1998
NJ,175,Judges' Award,1998
NJ,175,#1 Seed,1998
N1,177,#1 Seed,1998
N1,177,Motorola Quality Award,1998
NH,177,Motorola Quality Award,1998
TX,179,Rookie All Star Award,1998
NH,181,Judges' Award,1998
TX,186,Judges' Award,1998
NJ,191,J&J Sportsmanship,1998
NJ,195,Best Play of the Day Award,1998
N1,201,WPI Scholarship,1998
MI,201,Best Offensive Round,1998
MI,201,Featherweight in the Finals,1998
NJ,202,Rookie All Star Award,1998
NJ,203,DaimlerChrysler Team Spirit Award,1998
N1,1,Championship Winner,1999
IL,1,Xerox Creativity Award,1999
N1,5,ACE Scholarship,1999
MI,5,Featherweight in the Finals,1999
PA,7,#1 Seed,1999
N1,9,ACE Scholarship,1999
N1,9,Presidential Classroom Leadership Scholarship,1999
FL,10,Most Photogenic Award,1999
FL,10,Outstanding Defense,1999
NJ,11,Outstanding Defense,1999
N1,15,Outstanding Defense,1999
FL,15,Xerox Creativity Award,1999
N1,16,ACE Scholarship,1999
N1,16,Chairman's Award Finalist,1999
FL,16,#1 Seed,1999
FL,16,Honeywell Leadership in Control Award,1999
MI,16,Motorola Quality Award,1999
MI,16,#1 Seed,1999
N1,19,DWC Scholarship,1999
N1,19,Coast Guard Acad Schol.  Intro. to Engineering ,1999
