numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
3,1,The Juggernauts,Pontiac,Michigan,USA,CMPTX,2022,Midwest
4,4,Team 4 ELEMENT,Van Nuys,California,USA,CMPTX,2022,West
3,5,Robocards,Melvindale,Michigan,USA,,2008,Midwest
1,7,Team007,Baltimore,Maryland,USA,,2012,Northeast
2,8,Paly Robotics,Palo Alto,California,USA,CMPTX,2022,West
7,11,MORT,Flanders,New Jersey,USA,CMPTX,2022,Northeast
26,16,Bomb Squad,Mountain Home,Arkansas,USA,CMPTX,2022,South
11,20,The Rocketeers,Clifton Park,New York,USA,CMPTX,2022,Northeast
1,21,ComBBAT,Titusville,Florida,USA,CMPTX,2022,South
1,22,Double Deuce,Chatsworth,California,USA,,2006,West
21,25,Raider Robotix,North Brunswick,New Jersey,USA,CMPTX,2022,Northeast
17,27,Team RUSH,Clarkston,Michigan,USA,CMPTX,2022,Midwest
1,28,Pierson Whalers,Sag Harbor,New York,USA,CMPTX,2022,Northeast
34,33,Killer Bees,Auburn Hills,Michigan,USA,CMPTX,2022,Midwest
3,34,Rockets,Athens,Alabama,USA,CMPTX,2022,South
4,39,The 39th Aero Squadron,Gilbert,Arizona,USA,,2010,West
3,40,Checkmate,Manchester,New Hampshire,USA,,2011,Northeast
3,41,RoboWarriors,Warren,New Jersey,USA,CMPTX,2022,Northeast
10,45,TechnoKats Robotics Team,Kokomo,Indiana,USA,CMPTX,2022,Midwest
8,47,Chief Delphi,Pontiac,Michigan,USA,,2009,Midwest
11,48,Team E.L.I.T.E.,Warren,Ohio,USA,CMPTX,2022,Midwest
1,49,Robotic Knights,Saginaw,Michigan,USA,,2010,Midwest
7,51,The Wings of Fire,Pontiac,Michigan,USA,CMPTX,2022,Midwest
1,53,Area 53,Greenbelt,Maryland,USA,,2016,Northeast
1,55,Unknown Team Name,Unknown City,Texas,USA,,2000,South
13,56,R.O.B.B.E.,Bound Brook,New Jersey,USA,CMPTX,2022,Northeast
3,57,Leopards,Houston,Texas,USA,,2016,South
3,58,The Riot Crew,South Portland,Maine,USA,CMPTX,2022,Northeast
3,59,RamTech,Miami,Florida,USA,CMPTX,2022,South
12,60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),Kingman,Arizona,USA,CMPTX,2022,West
2,61,The Intimidators,Upton,Massachusetts,USA,CMPTX,2022,Northeast
2,63,McDowell Robotics Team 63,Erie,Pennsylvania,USA,CMPTX,2022,Northeast
5,64,Gila Monsters,Mesa,Arizona,USA,,2005,West
4,65,The Huskie Brigade,Pontiac,Michigan,USA,,2009,Midwest
9,66,Grizzly Robotics,Ypsilanti,Michigan,USA,CMPTX,2022,Midwest
42,67,The HOT Team,Highland,Michigan,USA,CMPTX,2022,Midwest
8,68,Truck Town Thunder,Ortonville,Michigan,USA,CMPTX,2022,Midwest
7,69,HYPER,Quincy,Massachusetts,USA,CMPTX,2022,Northeast
7,70,More Martians,Goodrich,Michigan,USA,CMPTX,2022,Midwest
20,71,Team Hammond,Hammond,Indiana,USA,CMPTX,2022,Midwest
6,74,Team CHAOS,Holland,Michigan,USA,CMPTX,2022,Midwest
7,75,RoboRaiders,Hillsborough,New Jersey,USA,CMPTX,2022,Northeast
6,78,AIR STRIKE,Newport,Rhode Island,USA,CMPTX,2022,Northeast
4,79,Team Krunch,Oldsmar,Florida,USA,CMPTX,2022,South
2,84,Chuck 84,Towanda,Pennsylvania,USA,,2010,Northeast
9,85,B.O.B. (Built on Brains),Zeeland,Michigan,USA,CMPTX,2022,Midwest
5,86,Team Resistance,Jacksonville,Florida,USA,CMPTX,2022,South
11,88,TJ²,Bridgewater,Massachusetts,USA,CMPTX,2022,Northeast
1,89,Unknown Team Name,Unknown City,Pennsylvania,USA,,2001,Northeast
4,93,NEW Apple Corps,Appleton,Wisconsin,USA,CMPTX,2022,Midwest
1,94,The  Ninetyfouriors,Southfield,Michigan,USA,CMPTX,2022,Midwest
5,95,Grasshoppers,White River Junction,Vermont,USA,CMPTX,2022,Northeast
4,100,The WildHats,Woodside,California,USA,CMPTX,2022,West
